[2023-03-22 15:00:21,521][kospeech.utils][INFO] - audio:
  audio_extension: wav
  sample_rate: 16000
  frame_length: 20
  frame_shift: 10
  normalize: true
  del_silence: true
  feature_extract_by: kaldi
  time_mask_num: 4
  freq_mask_num: 2
  spec_augment: true
  input_reverse: false
  transform_method: fbank
  n_mels: 80
  freq_mask_para: 18
model:
  architecture: deepspeech2
  teacher_forcing_ratio: 1.0
  teacher_forcing_step: 0.0
  min_teacher_forcing_ratio: 1.0
  dropout: 0.3
  bidirectional: false
  joint_ctc_attention: false
  max_len: 400
  use_bidirectional: true
  rnn_type: gru
  hidden_dim: 1024
  activation: hardtanh
  num_encoder_layers: 3
train:
  dataset: kspon
  dataset_path: ./dataset/kspon/data/kss
  transcripts_path: ../../../transcripts.txt
  output_unit: character
  batch_size: 32
  save_result_every: 100
  checkpoint_every: 100
  print_every: 10
  mode: train
  num_workers: 8
  use_cuda: true
  num_threads: 2
  init_lr_scale: 0.01
  final_lr_scale: 0.05
  max_grad_norm: 400
  weight_decay: 1.0e-05
  total_steps: 200000
  seed: 777
  resume: false
  optimizer: adam
  init_lr: 1.0e-06
  final_lr: 1.0e-06
  peak_lr: 0.0001
  warmup_steps: 400
  num_epochs: 8
  reduction: mean
  lr_scheduler: tri_stage_lr_scheduler

[2023-03-22 15:00:21,594][kospeech.utils][INFO] - Operating System : Windows 10
[2023-03-22 15:00:24,894][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3171.wav
[2023-03-22 15:00:24,899][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1081.wav
[2023-03-22 15:00:24,903][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0919.wav
[2023-03-22 15:00:24,905][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0674.wav
[2023-03-22 15:00:24,907][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2554.wav
[2023-03-22 15:00:24,910][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0635.wav
[2023-03-22 15:00:24,915][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4084.wav
[2023-03-22 15:00:24,916][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4415.wav
[2023-03-22 15:00:24,917][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3099.wav
[2023-03-22 15:00:24,921][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_1062.wav
[2023-03-22 15:00:24,926][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4804.wav
[2023-03-22 15:00:24,929][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3526.wav
[2023-03-22 15:00:24,930][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0110.wav
[2023-03-22 15:00:24,932][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0305.wav
[2023-03-22 15:00:24,939][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3255.wav
[2023-03-22 15:00:24,942][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3125.wav
[2023-03-22 15:00:24,943][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4817.wav
[2023-03-22 15:00:24,946][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4875.wav
[2023-03-22 15:00:24,946][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2418.wav
[2023-03-22 15:00:24,953][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0585.wav
[2023-03-22 15:00:24,956][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3444.wav
[2023-03-22 15:00:24,957][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3695.wav
[2023-03-22 15:00:24,961][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_1008.wav
[2023-03-22 15:00:24,963][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1064.wav
[2023-03-22 15:00:24,969][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1745.wav
[2023-03-22 15:00:24,969][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_0244.wav
[2023-03-22 15:00:24,971][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2718.wav
[2023-03-22 15:00:24,974][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3286.wav
[2023-03-22 15:00:24,977][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2005.wav
[2023-03-22 15:00:24,979][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0432.wav
[2023-03-22 15:00:24,985][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1657.wav
[2023-03-22 15:00:24,986][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0043.wav
[2023-03-22 15:00:24,994][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3313.wav
[2023-03-22 15:00:24,999][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0264.wav
[2023-03-22 15:00:25,000][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0273.wav
[2023-03-22 15:00:25,001][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0821.wav
[2023-03-22 15:00:25,004][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4123.wav
[2023-03-22 15:00:25,007][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1509.wav
[2023-03-22 15:00:25,009][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_0085.wav
[2023-03-22 15:00:25,012][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_4281.wav
[2023-03-22 15:00:25,017][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_4339.wav
[2023-03-22 15:00:25,023][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_3985.wav
[2023-03-22 15:00:25,025][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/2/2_1081.wav
[2023-03-22 15:00:25,027][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2356.wav
[2023-03-22 15:00:25,028][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_3409.wav
[2023-03-22 15:00:25,032][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0330.wav
[2023-03-22 15:00:25,034][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_0240.wav
[2023-03-22 15:00:25,036][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_2310.wav
[2023-03-22 15:00:25,037][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_1721.wav
[2023-03-22 15:00:25,040][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_0851.wav
[2023-03-22 15:00:25,042][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/1/1_1038.wav
[2023-03-22 15:00:25,044][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/4/4_2701.wav
[2023-03-22 15:00:25,049][kospeech.utils][INFO] - Audio is None : ./dataset/kspon/data/kss/3/3_1591.wav
[2023-03-22 15:00:25,630][kospeech.utils][INFO] - save checkpoints
C:\Users\SSAFY\Desktop\Speech\gitstt\BE\KoreanSTT\outputs\2023-03-22\15-00-21\2023_03_22_15_00_25-trainer_states.pt
C:\Users\SSAFY\Desktop\Speech\gitstt\BE\KoreanSTT\outputs\2023-03-22\15-00-21\2023_03_22_15_00_25-model.pt
[2023-03-22 15:00:25,631][kospeech.utils][INFO] - train() completed
[2023-03-22 15:00:25,631][kospeech.utils][INFO] - 0
